tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1.00E+00,neutral,1,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,2/24/2015 11:35,,Eastern Time (US & Canada)
2.00E+00,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,2/24/2015 11:15,,Pacific Time (US & Canada)
3.00E+00,neutral,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,2/24/2015 11:12,Los Angeles,Pacific Time (US & Canada)
4.00E+00,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,2/24/2015 10:48,1/1 loner squad,Eastern Time (US & Canada)
5.00E+00,positive,0.6451,,,Virgin America,,mollanderson,,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,2/24/2015 10:21,,Eastern Time (US & Canada)
6.00E+00,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@VirginAmerica SFO-PDX schedule is still MIA.,,2/24/2015 10:01,"palo alto, ca",Pacific Time (US & Canada)
7.00E+00,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,2/24/2015 8:55,,
8.00E+00,neutral,0.6854,,,Virgin America,,AdamSinger,,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,2/24/2015 5:44,"San Francisco, CA",Central Time (US & Canada)
9.00E+00,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",2/23/2015 23:34,Brooklyn,Atlantic Time (Canada)
1.00E+01,neutral,0.6207,,,Virgin America,,miaerolinea,,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,2/23/2015 18:46,Worldwide,Caracas
1.10E+01,neutral,0.6791,,0,Virgin America,,elisha_malulani,,0,@VirginAmerica when can I book my flight to Hawaii??,,2/23/2015 17:54,i'm creating a monster ,Pacific Time (US & Canada)
1.20E+01,positive,0.6639,,,Virgin America,,jamesferrandini,,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",,2/23/2015 17:32,,
1.30E+01,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,2/23/2015 17:00,Iowa City,Central Time (US & Canada)
1.40E+01,neutral,0.6578,,0,Virgin America,,KGervaise,,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,2/23/2015 16:20,Georgia,Pacific Time (US & Canada)
1.50E+01,neutral,0.6799,,,Virgin America,,vacations7,,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,,2/23/2015 16:04,Turks and caicos,
1.60E+01,neutral,0.6436,,,Virgin America,,lisaaiko,,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,,2/23/2015 15:58,,
1.70E+01,neutral,0.6764,,0,Virgin America,,grantbrowne,,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,2/23/2015 15:55,Worldwide,Central Time (US & Canada)
1.80E+01,positive,0.657,,,Virgin America,,joyabsalon,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,,2/23/2015 15:46,Northern Virginia,Eastern Time (US & Canada)
1.90E+01,neutral,0.7118,,0,Virgin America,,KSmithFoundHere,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,,2/23/2015 15:24,,Atlantic Time (Canada)
2.00E+01,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,,2/23/2015 15:05,"new york, new york",Eastern Time (US & Canada)
2.10E+01,positive,0.635,,,Virgin America,,KevinDemsi,,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,,2/23/2015 14:40,"Bali, Republic of Indonesia",Kuala Lumpur
2.20E+01,neutral,0.6858,,,Virgin America,,adawson66,,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","[33.57963333, -117.73024772]",2/23/2015 14:30,,
2.30E+01,neutral,0.6814,,0,Virgin America,,1stcrown,,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,,2/23/2015 14:09,USA,Central Time (US & Canada)
